X,Y
5.488135039273247529e+00,1.081112023776313791e+01
7.151893663724194994e+00,1.620461381440257753e+01
6.027633760716438971e+00,1.352092996116333801e+01
5.448831829968968421e+00,1.036141997366071266e+01
4.236547993389047306e+00,1.096134818057369387e+01
6.458941130666561392e+00,1.581377143736370527e+01
4.375872112626924881e+00,1.093052379641349958e+01
8.917730007820797056e+00,1.865553517982924348e+01
9.636627605010293252e+00,1.920250258851004332e+01
3.834415188257777274e+00,9.723282103446690527e+00
7.917250380826645895e+00,1.643132381468011260e+01
5.288949197529044355e+00,1.280034346544051616e+01
5.680445610939322876e+00,1.256916619995550555e+01
9.255966382926610336e+00,2.048857180233693498e+01
7.103605819788694209e-01,2.777087561132140614e+00
8.712929970154070780e-01,3.449159162222762198e+00
2.021839744032571939e-01,1.414867969527334957e+00
8.326198455479380200e+00,1.943826740486459670e+01
7.781567509498504620e+00,1.669004711170062905e+01
8.700121482468190948e+00,1.880223232838108416e+01
9.786183422327640713e+00,2.245551754171153647e+01
7.991585642167235548e+00,1.563541222319202539e+01
4.614793622529318462e+00,8.959102246572903994e+00
7.805291762864554173e+00,1.757998023388712028e+01
1.182744258689332195e+00,2.192365112264504479e+00
6.399210213275238424e+00,1.574204161219977038e+01
1.433532874090464038e+00,3.453446767421180841e+00
9.446689170495838894e+00,1.914592352955092025e+01
5.218483217500716975e+00,1.335990846148181888e+01
4.146619399905235426e+00,1.077375359124489584e+01
2.645556121046269915e+00,8.158671202519109045e+00
7.742336894342166431e+00,1.739071844695971691e+01
4.561503322165485486e+00,9.261780959276268987e+00
5.684339488686484643e+00,1.427874393047200385e+01
1.878980043635514185e-01,1.107792637775722344e+00
6.176354970758771046e+00,1.415516633731393803e+01
6.120957227224214314e+00,1.418916642222217739e+01
6.169339968747569181e+00,1.318366984440430478e+01
9.437480785146242113e+00,2.048904094063856363e+01
6.818202991034834071e+00,1.555861265363619417e+01
3.595079005737860101e+00,8.566583542631349246e+00
4.370319537993414549e+00,8.641238285402634389e+00
6.976311959272648799e+00,1.525086209275135296e+01
6.022547162926983333e-01,3.530895329272427219e+00
6.667667154456676570e+00,1.364076644918198689e+01
6.706378696181594101e+00,1.426312285203551689e+01
2.103825610738408791e+00,4.772497669755179750e+00
1.289262976548533057e+00,5.427789681576408398e+00
3.154283509241838424e+00,7.980861775496112642e+00
3.637107709426226076e+00,8.681677255093562806e+00
5.701967704178796836e+00,1.163401933391227772e+01
4.386015134623203693e+00,1.031127946053822519e+01
9.883738380592262729e+00,2.009314410052714805e+01
1.020448107480280697e+00,3.072726773234912390e+00
2.088767560948347146e+00,4.541689043517813218e+00
1.613095178849962563e+00,4.902623652646425079e+00
6.531083254653983872e+00,1.463875732592290824e+01
2.532916025397820903e+00,5.857533295217646874e+00
4.663107728563062437e+00,1.072222216978776999e+01
2.444255920016027428e+00,4.795450331301548630e+00
1.589695836455197187e+00,2.688134080204789278e+00
1.103751411643051350e+00,3.646894524550639449e+00
6.563295894652734219e+00,1.429326528467799662e+01
1.381829513486138028e+00,4.398690463864382671e+00
1.965823616800534968e+00,7.314792008465012429e+00
3.687251706609640856e+00,9.318982900209695330e+00
8.209932298479351687e+00,1.650704237151454379e+01
9.710127579306127021e-01,4.059041803957078365e+00
8.379449074988038149e+00,1.644299073946455536e+01
9.609840789396306704e-01,2.460383553064552586e+00
9.764594650133957998e+00,2.046094769494328602e+01
4.686512016477015763e+00,1.208636675460339838e+01
9.767610881903371123e+00,1.979046694175830368e+01
6.048455197450460119e+00,1.227047185624190639e+01
7.392635793983016512e+00,1.568681906354060018e+01
3.918779225432067470e-01,1.120277558724306122e+00
2.828069625764095818e+00,7.782775173634698618e+00
1.201965612131689065e+00,2.323999715899955021e+00
2.961401975221449323e+00,5.775335298031796682e+00
1.187277189542440547e+00,2.936734334340447283e+00
3.179831793939760232e+00,6.861631137187215401e+00
4.142629945146699910e+00,1.121479194411038627e+01
6.414749634878436080e-01,3.232370733901448023e+00
6.924721193700198896e+00,1.493699362878558823e+01
5.666014542065751058e+00,1.110659356530133479e+01
2.653894909394454160e+00,7.152152795190455770e+00
5.232480534666996697e+00,1.046474572194442842e+01
9.394051075844167542e-01,1.334039118391221912e+00
5.759464955561792721e+00,1.370695970347588677e+01
9.292961975762141336e+00,1.990286656344913396e+01
3.185689524513236393e+00,8.292237872807291410e+00
6.674103799636816881e+00,1.466693525221665517e+01
1.317978624043921743e+00,4.492787859990534649e+00
7.163272041185654970e+00,1.467551848907116252e+01
2.894060929472010990e+00,5.753879017159556852e+00
1.831913620071168314e+00,5.345421758423963610e+00
5.865129348100831308e+00,1.192684903202782110e+01
2.010754618749355238e-01,7.126011459996705044e-01
8.289400292173631613e+00,1.712326808082992002e+01
4.695476192547065608e-02,1.111388682875998013e+00
